threshold_over_virtual,virtual_MON,threshold_MON,coins_per_NFT,sold_at_graduation,pool_coins,surplus_burn,post_burn_supply,initial_theoretical_cap,post_burn_theoretical_cap,first_collect_buy_MON,graduation_spot_MON,after_graduation_buy_MON,buy_impact_percent
4,1000,4000,10000,80000000,1.60E+7,4000000,96000000,10000,9600,0.100010001000100010001000100010001000100010001000,0.00025,2.50156347717323327079424640400250156347717323327,0.06253908692933083176985616010006253908692933100
4,1000,4000,20000,80000000,1.60E+7,4000000,96000000,5000,4800,0.200040008001600320064012802560512102420484096819,0.00025,5.00625782227784730913642052565707133917396745932,0.12515644555694618272841051314142678347934918600
4,1000,4000,50000,80000000,1.60E+7,4000000,96000000,2000,1920,0.500250125062531265632816408204102051025512756378,0.00025,12.5391849529780564263322884012539184952978056426,0.31347962382445141065830721003134796238244514100
4,1000,4000,100000,80000000,1.60E+7,4000000,96000000,1000,960,1.00100100100100100100100100100100100100100100100,0.00025,25.1572327044025157232704402515723270440251572327,0.62893081761006289308176100628930817610062893100
4,1000,4000,200000,80000000,1.60E+7,4000000,96000000,500,480,2.00400801603206412825651302605210420841683366733,0.00025,50.6329113924050632911392405063291139240506329114,1.26582278481012658227848101265822784810126582300
4,1000,4000,250000,80000000,1.60E+7,4000000,96000000,400,384,2.50626566416040100250626566416040100250626566416,0.00025,63.4920634920634920634920634920634920634920634921,1.58730158730158730158730158730158730158730158700
4,1000,4000,500000,80000000,1.60E+7,4000000,96000000,200,192,5.02512562814070351758793969849246231155778894472,0.00025,129.032258064516129032258064516129032258064516129,3.22580645161290322580645161290322580645161290300
4,1000,4000,1000000,80000000,1.60E+7,4000000,96000000,100,96,10.1010101010101010101010101010101010101010101010,0.00025,266.666666666666666666666666666666666666666666667,6.66666666666666666666666666666666666666666666700
9,1000,9000,10000,90000000,9.000E+6,1000000,99000000,10000,9900,0.100010001000100010001000100010001000100010001000,0.001,10.0111234705228031145717463848720800889877641824,0.11123470522803114571746384872080088987764182400
9,1000,9000,20000,90000000,9.000E+6,1000000,99000000,5000,4950,0.200040008001600320064012802560512102420484096819,0.001,20.0445434298440979955456570155902004454342984410,0.22271714922048997772828507795100222717149220500
9,1000,9000,50000,90000000,9.000E+6,1000000,99000000,2000,1980,0.500250125062531265632816408204102051025512756378,0.001,50.2793296089385474860335195530726256983240223464,0.55865921787709497206703910614525139664804469300
9,1000,9000,100000,90000000,9.000E+6,1000000,99000000,1000,990,1.00100100100100100100100100100100100100100100100,0.001,101.123595505617977528089887640449438202247191011,1.12359550561797752808988764044943820224719101100
9,1000,9000,200000,90000000,9.000E+6,1000000,99000000,500,495,2.00400801603206412825651302605210420841683366733,0.001,204.545454545454545454545454545454545454545454545,2.27272727272727272727272727272727272727272727200
9,1000,9000,250000,90000000,9.000E+6,1000000,99000000,400,396,2.50626566416040100250626566416040100250626566416,0.001,257.142857142857142857142857142857142857142857143,2.85714285714285714285714285714285714285714285700
9,1000,9000,500000,90000000,9.000E+6,1000000,99000000,200,198,5.02512562814070351758793969849246231155778894472,0.001,529.411764705882352941176470588235294117647058824,5.88235294117647058823529411764705882352941176500
9,1000,9000,1000000,90000000,9.000E+6,1000000,99000000,100,99,10.1010101010101010101010101010101010101010101010,0.001,1125,12.500
19,1000,19000,10000,95000000,4.750E+6,250000,99750000,10000,9975,0.100010001000100010001000100010001000100010001000,0.004,40.0843881856540084388185654008438818565400843882,0.21097046413502109704641350210970464135021097000
19,1000,19000,20000,95000000,4.750E+6,250000,99750000,5000,4987,0.200040008001600320064012802560512102420484096819,0.004,80.3382663847780126849894291754756871035940803383,0.42283298097251585623678646934460887949260042300
19,1000,19000,50000,95000000,4.750E+6,250000,99750000,2000,1995,0.500250125062531265632816408204102051025512756378,0.004,202.127659574468085106382978723404255319148936170,1.06382978723404255319148936170212765957446808500
19,1000,19000,100000,95000000,4.750E+6,250000,99750000,1000,997,1.00100100100100100100100100100100100100100100100,0.004,408.602150537634408602150537634408602150537634409,2.15053763440860215053763440860215053763440860200
19,1000,19000,200000,95000000,4.750E+6,250000,99750000,500,498,2.00400801603206412825651302605210420841683366733,0.004,835.164835164835164835164835164835164835164835165,4.39560439560439560439560439560439560439560439600
19,1000,19000,250000,95000000,4.750E+6,250000,99750000,400,399,2.50626566416040100250626566416040100250626566416,0.004,1055.55555555555555555555555555555555555555555556,5.55555555555555555555555555555555555555555555600
19,1000,19000,500000,95000000,4.750E+6,250000,99750000,200,199,5.02512562814070351758793969849246231155778894472,0.004,2235.29411764705882352941176470588235294117647059,11.7647058823529411764705882352941176470588235300
19,1000,19000,1000000,95000000,4.750E+6,250000,99750000,100,99,10.1010101010101010101010101010101010101010101010,0.004,5066.66666666666666666666666666666666666666666667,26.6666666666666666666666666666666666666666666670
